Freq,FreqOfFreq
1,6160
2,2119
3,1107
4,661
5,440
6,347
7,272
8,207
9,187
11,132
10,131
12,99
15,94
13,94
14,77
16,64
19,62
17,57
20,46
18,46
21,43
22,38
24,37
32,36
26,36
23,35
27,33
34,31
30,30
28,30
29,25
40,23
31,23
33,22
25,22
43,20
42,17
38,17
35,17
47,16
36,16
54,15
50,15
45,15
39,14
48,12
46,12
70,11
58,11
44,11
92,10
56,10
51,10
37,10
68,9
63,9
52,9
74,8
64,8
59,8
57,8
53,8
124,7
80,7
78,7
67,7
66,7
65,7
61,7
60,7
55,7
49,7
107,6
103,6
102,6
101,6
85,6
84,6
72,6
71,6
69,6
62,6
41,6
144,5
121,5
105,5
95,5
83,5
77,5
116,4
108,4
100,4
99,4
97,4
87,4
79,4
76,4
73,4
275,3
233,3
204,3
171,3
168,3
150,3
147,3
146,3
141,3
127,3
126,3
117,3
115,3
111,3
96,3
90,3
81,3
687,2
413,2
411,2
348,2
323,2
320,2
242,2
238,2
236,2
227,2
210,2
206,2
192,2
190,2
181,2
173,2
167,2
163,2
162,2
151,2
148,2
143,2
142,2
139,2
137,2
136,2
135,2
134,2
130,2
125,2
123,2
122,2
119,2
118,2
112,2
110,2
109,2
104,2
98,2
94,2
93,2
91,2
89,2
88,2
82,2
75,2
2156,1
2109,1
1425,1
1405,1
1300,1
1275,1
1250,1
1244,1
1133,1
1085,1
1066,1
1012,1
1003,1
990,1
950,1
905,1
873,1
820,1
811,1
798,1
781,1
769,1
701,1
644,1
637,1
616,1
601,1
594,1
590,1
580,1
579,1
578,1
577,1
563,1
561,1
560,1
550,1
542,1
520,1
516,1
513,1
494,1
486,1
476,1
473,1
461,1
451,1
449,1
435,1
425,1
420,1
410,1
400,1
383,1
379,1
377,1
373,1
367,1
366,1
361,1
358,1
353,1
337,1
330,1
327,1
324,1
321,1
319,1
313,1
306,1
305,1
304,1
302,1
299,1
292,1
288,1
287,1
286,1
281,1
277,1
273,1
266,1
258,1
256,1
251,1
248,1
247,1
246,1
245,1
244,1
240,1
234,1
232,1
230,1
229,1
228,1
226,1
217,1
211,1
205,1
199,1
195,1
193,1
188,1
186,1
185,1
184,1
182,1
180,1
175,1
170,1
165,1
164,1
160,1
156,1
155,1
154,1
149,1
140,1
138,1
131,1
128,1
114,1
113,1
106,1
86,1
