Word,Freq
හා,2156
සඳහා,2109
යුතු,1425
හෝ,1405
ය,1300
කරන,1275
එම,1250
ඇති,1244
සහ,1133
කළ,1085
කිරීම,1066
කර,1012
ලබා,1003
ඒ,990
මෙම,950
ලද,905
කටයුතු,873
විසින්,820
වන,811
ද,798
දින,781
නම්,769
අංක,701
ලේකම්,687
සඳහන්,687
කවරේද,644
වැනි,637
වෙත,616
යටතේ,601
ශ්රී,594
අධ්යාපන,590
අනුව,580
එතුමා,579
ඉදිරිපත්,578
වැටුප්,577
මහතා,563
එක්,561
මේ,560
කරනු,550
ගරු,542
රාජ්ය,520
නිවාඩු,516
වූ,513
කිරීමට,494
කොපමණද,486
අදාළ,476
ඇත,473
දී,461
ලංකා,451
ලෙස,449
ලබන,435
අතර,425
වෙන්,420
වශයෙන්,413
බව,413
සිට,411
මුදල්,411
සම්බන්ධයෙන්,410
හැකි,400
සේවා,383
දරන,379
පළාත්,377
පරිදි,373
සංවර්ධන,367
කිරීමේ,366
අවශ්ය,361
ජාතික,358
විශේෂ,353
අනුමත,348
අධ්යක්ෂ,348
දිනය,337
කාරුණිකව,330
වෙනුවෙන්,327
භාෂා,324
ගැනීම,323
තුළ,323
දිනැති,321
දක්වා,320
එසේ,320
පිළිබඳ,319
ඉහත,313
සේවය,306
සංඛ්යාව,305
විට,304
රජයේ,302
ප්රාදේශීය,299
ණය,292
මුදල,288
ක්රියාත්මක,287
පහත,286
නිලධරයෙකු,281
ගත,277
ගැනීමට,275
මගින්,275
ඔබ,275
ඔහු,273
පත්,266
කරන්නෙහිද,258
යන,256
සිදු,251
ඇසීමට,248
සභාවට,247
අමාත්යතුමාගෙන්,246
දිස්ත්රික්,245
ක්,244
වැඩසටහන්,242
වෙනත්,242
රු,240
ආයතන,238
වේ,238
වැඩසටහන,236
බවත්,236
අංකය,234
විය,233
පෙර,233
දන්වන්නෙහිද,233
තොරතුරු,232
එම්,230
පාසල්,229
කාලය,228
අමාත්යාංශය,227
සමග,227
සහකාර,226
දෙන,217
අ,211
වගන්තිය,210
විශ්රාම,210
වැඩ,206
ක,206
කාල,205
යුතුය,204
උක්ත,204
ලිපිය,204
වාර්තා,199
යන්න,195
නිලධරයා,193
වියදම්,192
දන්වමි,192
ගෙන,190
ඔහුට,190
පනතේ,188
නිකුත්,186
නිලධරයෙකුට,185
වී,184
සියලුම,182
අවසන්,181
දෙපාර්තමේන්තු,181
නිවාස,180
දන්වා,175
සේවයේ,173
දිය,173
අමාත්යාංශයේ,171
ලැබූ,171
සිටිමි,171
වාර්තාව,170
වැඩි,168
ගමන්,168
සිටින,168
ගන්නා,167
පනත්,167
ප්රධාන,165
වෛද්ය,164
එස්,163
කාර්යාලය,163
පිළිබඳව,162
එකී,162
මස,160
මගේ,156
මත,155
කොට,154
ආයතනය,151
සම්පූර්ණ,151
අය,150
වර්ෂයේ,150
ව,150
ආරම්භ,149
ස,148
මා,148
ට,147
ප්රමාණය,147
ඇතුළත්,147
සමාජ,146
යෝජනා,146
ගෙවිය,146
නිලධාරී,144
ඊට,144
ඔහුගේ,144
මෙන්,144
ඔබගේ,144
දීම,143
සමඟ,143
එහි,142
දෙපාර්තමේන්තුව,142
නිලධාරීන්,141
පරිපාලන,141
නියෝග,141
ඉල්ලා,140
ග්රාම,139
කෙටුම්පත,139
සෑම,138
පත්රයේ,137
ලැබ,137
අයත්,136
නව,136
ගත්,135
ජනරාල්,135
සකස්,134
රාජකාරි,134
තිබේද,131
යම්,130
බදු,130
නියමිත,128
දීමට,127
බවට,127
විදේශ,127
ගාස්තු,126
නිසා,126
කරමි,126
ලැබේ,125
තාක්ෂණ,125
කාර්ය,124
කරුණු,124
භාර,124
මණ්ඩලය,124
යොමු,124
පළ,124
බැඳේ,124
වර්ෂය,123
ගැසට්,123
පුහුණු,122
ලිපි,122
පහසුකම්,121
වාර්ෂික,121
ස්ථිර,121
දිනට,121
කේ,121
යුත්තේ,119
ගෙවීම,119
සලකා,118
ගිණුම්,118
දීමනා,117
භාණ්ඩ,117
එවන,117
වර්ෂ,116
පොදු,116
සමාජවාදී,116
දුම්රිය,116
අති,115
අඩු,115
ජනරජයේ,115
දැනුවත්,114
එය,113
ලදුව,112
මාතලේ,112
සභාව,111
නම,111
ආපසු,111
වෙනුවට,110
කරුණ,110
අතිරේක,109
ඡන්ද,109
සභා,108
නැවත,108
සහිත,108
ව්යවස්ථාව,108
අංශය,107
ප්රතිපාදන,107
සේවක,107
හේතු,107
වෙළඳ,107
රජය,107
විධිවිධාන,106
පාලන,105
ඉදිකිරීම්,105
ක්රීඩා,105
තීරණය,105
නියම,105
පිටපත්,104
නොමැති,104
තම,103
සහතික,103
සම්පත්,103
සියලු,103
වගන්තියේ,103
නාවලපිටිය,103
අවුරුදු,102
නොවන,102
පවතින,102
ප්රධානියා,102
ගුරු,102
පස්බාගේ,102
හිමිකම්,101
මූල්ය,101
ආර්,101
සුදුසුකම්,101
සටහන්,101
අනුමතිය,101
විෂය,100
උසස්,100
