Word,Freq,Rank
හා,2156,1
සඳහා,2109,2
යුතු,1425,3
හෝ,1405,4
ය,1300,5
කරන,1275,6
එම,1250,7
ඇති,1244,8
සහ,1133,9
කළ,1085,10
කිරීම,1066,11
කර,1012,12
ලබා,1003,13
ඒ,990,14
මෙම,950,15
ලද,905,16
කටයුතු,873,17
විසින්,820,18
වන,811,19
ද,798,20
දින,781,21
නම්,769,22
අංක,701,23
ලේකම්,687,24
සඳහන්,687,25
කවරේද,644,26
වැනි,637,27
වෙත,616,28
යටතේ,601,29
ශ්රී,594,30
අධ්යාපන,590,31
අනුව,580,32
එතුමා,579,33
ඉදිරිපත්,578,34
වැටුප්,577,35
මහතා,563,36
එක්,561,37
මේ,560,38
කරනු,550,39
ගරු,542,40
රාජ්ය,520,41
නිවාඩු,516,42
වූ,513,43
කිරීමට,494,44
කොපමණද,486,45
අදාළ,476,46
ඇත,473,47
දී,461,48
ලංකා,451,49
ලෙස,449,50
ලබන,435,51
අතර,425,52
වෙන්,420,53
වශයෙන්,413,54
බව,413,55
සිට,411,56
මුදල්,411,57
සම්බන්ධයෙන්,410,58
හැකි,400,59
සේවා,383,60
දරන,379,61
පළාත්,377,62
පරිදි,373,63
සංවර්ධන,367,64
කිරීමේ,366,65
අවශ්ය,361,66
ජාතික,358,67
විශේෂ,353,68
අනුමත,348,69
අධ්යක්ෂ,348,70
දිනය,337,71
කාරුණිකව,330,72
වෙනුවෙන්,327,73
භාෂා,324,74
ගැනීම,323,75
තුළ,323,76
දිනැති,321,77
දක්වා,320,78
එසේ,320,79
පිළිබඳ,319,80
ඉහත,313,81
සේවය,306,82
සංඛ්යාව,305,83
විට,304,84
රජයේ,302,85
ප්රාදේශීය,299,86
ණය,292,87
මුදල,288,88
ක්රියාත්මක,287,89
පහත,286,90
නිලධරයෙකු,281,91
ගත,277,92
ගැනීමට,275,93
මගින්,275,94
ඔබ,275,95
ඔහු,273,96
පත්,266,97
කරන්නෙහිද,258,98
යන,256,99
සිදු,251,100
ඇසීමට,248,101
සභාවට,247,102
අමාත්යතුමාගෙන්,246,103
දිස්ත්රික්,245,104
ක්,244,105
වැඩසටහන්,242,106
වෙනත්,242,107
රු,240,108
ආයතන,238,109
වේ,238,110
වැඩසටහන,236,111
බවත්,236,112
අංකය,234,113
විය,233,114
පෙර,233,115
දන්වන්නෙහිද,233,116
තොරතුරු,232,117
එම්,230,118
පාසල්,229,119
කාලය,228,120
අමාත්යාංශය,227,121
සමග,227,122
සහකාර,226,123
දෙන,217,124
අ,211,125
වගන්තිය,210,126
විශ්රාම,210,127
වැඩ,206,128
ක,206,129
කාල,205,130
යුතුය,204,131
උක්ත,204,132
ලිපිය,204,133
