Word,Freq,Z
හා,2156,34.86514120336005
සඳහා,2109,34.100741847098426
යුතු,1425,22.97629164107822
හෝ,1405,22.651015319264765
ය,1300,20.94331462974412
කරන,1275,20.5367192274773
එම,1250,20.13012382521048
ඇති,1244,20.032540928666442
සහ,1133,18.227257342601757
කළ,1085,17.446594170249462
කිරීම,1066,17.137581664526678
කර,1012,16.259335595630347
ලබා,1003,16.11296125081429
ඒ,990,15.901531641635543
මෙම,950,15.25097899800863
ලද,905,14.519107273928354
කටයුතු,873,13.998665159026825
විසින්,820,13.136682906221164
වන,811,12.99030856140511
ද,798,12.778878952226362
දින,781,12.502394078684924
නම්,769,12.307228285596851
අංක,701,11.201288791431098
ලේකම්,687,10.97359536616168
සඳහන්,687,10.97359536616168
කවරේද,644,10.274251274262749
වැනි,637,10.160404561628038
වෙත,616,9.818864423723909
යටතේ,601,9.574907182363818
ශ්රී,594,9.461060469729107
අධ්යාපන,590,9.396005205366416
අනුව,580,9.233367044459689
එතුමා,579,9.217103228369016
ඉදිරිපත්,578,9.200839412278343
වැටුප්,577,9.18457559618767
මහතා,563,8.95688217091825
එක්,561,8.924354538736905
මේ,560,8.908090722646232
කරනු,550,8.745452561739503
ගරු,542,8.615342033014121
රාජ්ය,520,8.25753807901932
නිවාඩු,516,8.192482814656628
වූ,513,8.14369136638461
කිරීමට,494,7.834678860661826
කොපමණද,486,7.704568331936444
අදාළ,476,7.5419301710297155
ඇත,473,7.493138722757696
දී,461,7.297972929669623
ලංකා,451,7.1353347687628945
ලෙස,449,7.102807136581549
ලබන,435,6.87511371131213
අතර,425,6.712475550405402
වෙන්,420,6.631156469952037
වශයෙන්,413,6.517309757317328
බව,413,6.517309757317328
සිට,411,6.4847821251359825
මුදල්,411,6.4847821251359825
සම්බන්ධයෙන්,410,6.468518309045309
හැකි,400,6.3058801481385816
සේවා,383,6.029395274597143
දරන,379,5.964340010234452
පළාත්,377,5.931812378053106
පරිදි,373,5.866757113690415
සංවර්ධන,367,5.769174217146378
කිරීමේ,366,5.752910401055705
අවශ්ය,361,5.671591320602341
ජාතික,358,5.622799872330323
විශේෂ,353,5.541480791876959
අනුමත,348,5.460161711423595
අධ්යක්ෂ,348,5.460161711423595
දිනය,337,5.281259734426194
කාරුණිකව,330,5.167413021791484
වෙනුවෙන්,327,5.118621573519466
භාෂා,324,5.069830125247447
ගැනීම,323,5.053566309156774
තුළ,323,5.053566309156774
දිනැති,321,5.0210386769754285
දක්වා,320,5.004774860884756
එසේ,320,5.004774860884756
පිළිබඳ,319,4.988511044794083
ඉහත,313,4.890928148250046
සේවය,306,4.777081435615337
සංඛ්යාව,305,4.760817619524664
විට,304,4.744553803433991
රජයේ,302,4.712026171252645
ප්රාදේශීය,299,4.663234722980627
ණය,292,4.5493880103459166
මුදල,288,4.484332745983226
ක්රියාත්මක,287,4.468068929892553
පහත,286,4.45180511380188
නිලධරයෙකු,281,4.370486033348516
ගත,277,4.305430768985825
ගැනීමට,275,4.272903136804479
මගින්,275,4.272903136804479
ඔබ,275,4.272903136804479
ඔහු,273,4.240375504623134
පත්,266,4.126528791988424
කරන්නෙහිද,258,3.996418263263041
යන,256,3.9638906310816955
සිදු,251,3.8825715506283314
ඇසීමට,248,3.833780102356313
සභාවට,247,3.81751628626564
අමාත්යතුමාගෙන්,246,3.8012524701749673
දිස්ත්රික්,245,3.7849886540842945
ක්,244,3.768724837993622
වැඩසටහන්,242,3.736197205812276
වෙනත්,242,3.736197205812276
රු,240,3.7036695736309304
ආයතන,238,3.671141941449585
වේ,238,3.671141941449585
වැඩසටහන,236,3.638614309268239
බවත්,236,3.638614309268239
අංකය,234,3.6060866770868936
විය,233,3.589822860996221
පෙර,233,3.589822860996221
දන්වන්නෙහිද,233,3.589822860996221
තොරතුරු,232,3.5735590449055477
එම්,230,3.541031412724202
පාසල්,229,3.5247675966335295
කාලය,228,3.5085037805428567
අමාත්යාංශය,227,3.492239964452184
සමග,227,3.492239964452184
සහකාර,226,3.475976148361511
දෙන,217,3.3296018035454558
අ,211,3.232018907001419
වගන්තිය,210,3.2157550909107457
විශ්රාම,210,3.2157550909107457
වැඩ,206,3.150699826548055
ක,206,3.150699826548055
කාල,205,3.1344360104573816
යුතුය,204,3.118172194366709
උක්ත,204,3.118172194366709
ලිපිය,204,3.118172194366709
වාර්තා,199,3.036853113913345
යන්න,195,2.971797849550654
නිලධරයා,193,2.939270217369308
වියදම්,192,2.923006401278635
දන්වමි,192,2.923006401278635
ගෙන,190,2.8904787690972897
ඔහුට,190,2.8904787690972897
පනතේ,188,2.857951136915944
නිකුත්,186,2.8254235047345984
නිලධරයෙකුට,185,2.8091596886439256
වී,184,2.7928958725532524
සියලුම,182,2.760368240371907
අවසන්,181,2.7441044242812342
දෙපාර්තමේන්තු,181,2.7441044242812342
නිවාස,180,2.7278406081905615
දන්වා,175,2.6465215277371974
සේවයේ,173,2.6139938955558515
දිය,173,2.6139938955558515
අමාත්යාංශයේ,171,2.581466263374506
ලැබූ,171,2.581466263374506
සිටිමි,171,2.581466263374506
වාර්තාව,170,2.5652024472838333
වැඩි,168,2.5326748151024874
ගමන්,168,2.5326748151024874
සිටින,168,2.5326748151024874
ගන්නා,167,2.5164109990118146
පනත්,167,2.5164109990118146
ප්රධාන,165,2.483883366830469
වෛද්ය,164,2.4676195507397964
එස්,163,2.4513557346491237
කාර්යාලය,163,2.4513557346491237
පිළිබඳව,162,2.4350919185584505
එකී,162,2.4350919185584505
මස,160,2.402564286377105
මගේ,156,2.3375090220144137
මත,155,2.321245205923741
කොට,154,2.304981389833068
ආයතනය,151,2.2561899415610496
සම්පූර්ණ,151,2.2561899415610496
අය,150,2.239926125470377
වර්ෂයේ,150,2.239926125470377
ව,150,2.239926125470377
ආරම්භ,149,2.223662309379704
ස,148,2.2073984932890314
මා,148,2.2073984932890314
ට,147,2.1911346771983586
ප්රමාණය,147,2.1911346771983586
ඇතුළත්,147,2.1911346771983586
සමාජ,146,2.1748708611076855
යෝජනා,146,2.1748708611076855
ගෙවිය,146,2.1748708611076855
නිලධාරී,144,2.14234322892634
ඊට,144,2.14234322892634
ඔහුගේ,144,2.14234322892634
මෙන්,144,2.14234322892634
ඔබගේ,144,2.14234322892634
දීම,143,2.1260794128356673
සමඟ,143,2.1260794128356673
එහි,142,2.1098155967449945
දෙපාර්තමේන්තුව,142,2.1098155967449945
නිලධාරීන්,141,2.0935517806543213
පරිපාලන,141,2.0935517806543213
නියෝග,141,2.0935517806543213
ඉල්ලා,140,2.0772879645636486
ග්රාම,139,2.061024148472976
කෙටුම්පත,139,2.061024148472976
සෑම,138,2.044760332382303
පත්රයේ,137,2.0284965162916304
ලැබ,137,2.0284965162916304
අයත්,136,2.0122327002009572
නව,136,2.0122327002009572
ගත්,135,1.9959688841102845
ජනරාල්,135,1.9959688841102845
සකස්,134,1.9797050680196118
රාජකාරි,134,1.9797050680196118
තිබේද,131,1.9309136197475933
යම්,130,1.9146498036569206
බදු,130,1.9146498036569206
නියමිත,128,1.882122171475575
දීමට,127,1.865858355384902
බවට,127,1.865858355384902
විදේශ,127,1.865858355384902
ගාස්තු,126,1.8495945392942292
නිසා,126,1.8495945392942292
කරමි,126,1.8495945392942292
ලැබේ,125,1.8333307232035565
තාක්ෂණ,125,1.8333307232035565
කාර්ය,124,1.8170669071128835
කරුණු,124,1.8170669071128835
භාර,124,1.8170669071128835
මණ්ඩලය,124,1.8170669071128835
යොමු,124,1.8170669071128835
පළ,124,1.8170669071128835
බැඳේ,124,1.8170669071128835
වර්ෂය,123,1.8008030910222108
ගැසට්,123,1.8008030910222108
පුහුණු,122,1.784539274931538
ලිපි,122,1.784539274931538
පහසුකම්,121,1.7682754588408651
වාර්ෂික,121,1.7682754588408651
ස්ථිර,121,1.7682754588408651
දිනට,121,1.7682754588408651
කේ,121,1.7682754588408651
යුත්තේ,119,1.7357478266595194
ගෙවීම,119,1.7357478266595194
සලකා,118,1.7194840105688467
ගිණුම්,118,1.7194840105688467
දීමනා,117,1.703220194478174
භාණ්ඩ,117,1.703220194478174
එවන,117,1.703220194478174
වර්ෂ,116,1.686956378387501
පොදු,116,1.686956378387501
සමාජවාදී,116,1.686956378387501
දුම්රිය,116,1.686956378387501
අති,115,1.6706925622968283
අඩු,115,1.6706925622968283
ජනරජයේ,115,1.6706925622968283
දැනුවත්,114,1.6544287462061555
එය,113,1.6381649301154826
ලදුව,112,1.6219011140248099
මාතලේ,112,1.6219011140248099
සභාව,111,1.605637297934137
නම,111,1.605637297934137
ආපසු,111,1.605637297934137
වෙනුවට,110,1.5893734818434642
කරුණ,110,1.5893734818434642
අතිරේක,109,1.5731096657527914
ඡන්ද,109,1.5731096657527914
සභා,108,1.5568458496621185
නැවත,108,1.5568458496621185
සහිත,108,1.5568458496621185
ව්යවස්ථාව,108,1.5568458496621185
අංශය,107,1.5405820335714457
ප්රතිපාදන,107,1.5405820335714457
සේවක,107,1.5405820335714457
හේතු,107,1.5405820335714457
වෙළඳ,107,1.5405820335714457
රජය,107,1.5405820335714457
විධිවිධාන,106,1.524318217480773
පාලන,105,1.5080544013901
ඉදිකිරීම්,105,1.5080544013901
ක්රීඩා,105,1.5080544013901
තීරණය,105,1.5080544013901
නියම,105,1.5080544013901
පිටපත්,104,1.4917905852994273
නොමැති,104,1.4917905852994273
තම,103,1.4755267692087544
සහතික,103,1.4755267692087544
සම්පත්,103,1.4755267692087544
සියලු,103,1.4755267692087544
වගන්තියේ,103,1.4755267692087544
නාවලපිටිය,103,1.4755267692087544
අවුරුදු,102,1.4592629531180816
නොවන,102,1.4592629531180816
පවතින,102,1.4592629531180816
ප්රධානියා,102,1.4592629531180816
ගුරු,102,1.4592629531180816
පස්බාගේ,102,1.4592629531180816
හිමිකම්,101,1.442999137027409
මූල්ය,101,1.442999137027409
ආර්,101,1.442999137027409
සුදුසුකම්,101,1.442999137027409
සටහන්,101,1.442999137027409
අනුමතිය,101,1.442999137027409
විෂය,100,1.426735320936736
උසස්,100,1.426735320936736
මණ්ඩල,100,1.426735320936736
ආණ්ඩුක්රම,100,1.426735320936736
අදාල,99,1.4104715048460632
වීම,99,1.4104715048460632
දෙපාර්තමේන්තුවේ,99,1.4104715048460632
අත්සන්,99,1.4104715048460632
අමාත්යවරයා,98,1.3942076887553905
ඉඩම්,98,1.3942076887553905
ගැනීමේ,97,1.3779438726647175
බඳවා,97,1.3779438726647175
මඟින්,97,1.3779438726647175
කරන්නේද,97,1.3779438726647175
ආයතනයේ,96,1.3616800565740448
නියමය,96,1.3616800565740448
කලාප,96,1.3616800565740448
ලදී,95,1.3454162404833718
අනෙකුත්,95,1.3454162404833718
පෞද්ගලික,95,1.3454162404833718
පී,95,1.3454162404833718
ආයෝජන,95,1.3454162404833718
සම්බන්ධ,94,1.329152424392699
කොමිෂන්,94,1.329152424392699
